id,text,date,label
1,"XEM: ROBIN WILLIAMS chỉ trích hành vi đạo đức giả của khán giả trong vở hài kịch không chính xác về mặt chính trị của anh ấy về người Hồi giáo, Thánh chiến và Kinh Qur'an. Robin Williams là một diễn viên hài có một không hai. Thương hiệu hài hước của anh ấy không bao giờ có thể được nhân rộng. May mắn thay, vẫn còn những video clip về màn trình diễn của anh ấy trên internet. Đoạn video dưới đây cho thấy Robin Williams chế nhạo người Hồi giáo, thánh chiến, 72 trinh nữ, Kinh Qur'an và tài xế taxi. Phần hay nhất của video nằm ở gần cuối, khi Robin Williams thực sự kêu gọi khán giả phản ứng với những câu chuyện cười của anh ấy, tiết lộ hành vi đạo đức giả của họ khi giận dữ với trò đùa trên taxi của anh ấy vì nó không chính xác về mặt chính trị, trong khi tin rằng việc cười về việc đánh chết một kẻ khủng bố Hồi giáo là được. Chỉ Robin Williams mới có thể thoát khỏi việc chỉ trích khán giả của mình chứ không phải thói đạo đức giả lố bịch của họ nhân danh sự đúng đắn về chính trị. Xem: Robin Williams trên Jihad Không có gì #LaughOutLoud #SaturdayChillOutZone pic.twitter.com/WuZJIBGBB7 E I (@based4good) Ngày 19 tháng 8 năm 2017","Aug 20, 2017",1
2,"Theo Viện Vệ sinh dịch tễ Trung Ương, tới 6 giờ sáng 1/4, gh.... Theo Viện Vệ sinh dịch tễ Trung Ương, tới 6 giờ sáng 1/4, ghi nhận thêm 5 trường hợp mắc mới, nâng tổng số bệnh nhân mắc Covid-19 tại Việt Nam lên 212 người.",2020-04-01,0
3,"Hai clip hoạt hình dành cho trẻ em, có kèm ngôn ngữ ký hiệu .... Hai clip hoạt hình dành cho trẻ em, có kèm ngôn ngữ ký hiệu dành cho trẻ khiếm thính, hướng dẫn phòng tránh COVID-19 vừa được Bộ Y tế phối hợp với UNICEF thực hiện.",2020-03-16,0
4,EVN giảm_giá điện 10% cho các hộ gia_đình dùng dưới 300 kWh .... EVN giảm_giá điện 10% cho các hộ gia_đình dùng dưới 300 kWh / tháng làm mình liên_tưởng đến việc Rạp chiếu thông_báo : Giảm_giá vẻ xem phim 18+ cho khách_hàng cao 1m3 trở xuống,2020-04-17,1
5,"Qua làm việc với công an, ông S.N.P. (huyện Bình Chánh, <URL.... Qua làm việc với công an, ông S.N.P. (huyện Bình Chánh, <URL>) thừa nhận mua 960kg gồm khẩu trang y tế, bịch nilông, giấy vụn... rồi cho phân loại được 780kg khẩu trang, khi ông này định bán cho xưởng ó keo (tạo hạt nhựa) thì bị phát hiện.",2020-03-02,0
6,Mỹ đã triệu tập Đại sứ Trung Quốc để phản ứng việc một quan .... Mỹ đã triệu tập Đại sứ Trung Quốc để phản ứng việc một quan chức cấp cao ở Bắc Kinh cáo buộc quân đội Mỹ mang virus SARS-CoV-2 đến Vũ Hán.,2020-03-14,0
7,"[VIDEO] SỐC ‘Sự im lặng của bầy cừu’ NHƯ PHỎNG VẤN VỚI Kẻ giết người hàng loạt. Sự tầm thường của cái ác là cách Ann McElhinney, đồng sản xuất bộ phim Gosnell mô tả cuộc gặp gỡ với kẻ giết người hàng loạt, Tiến sĩ Kermit Gosnell. Trong cuộc phỏng vấn đầy cảm xúc với Dana Loesch, Ann mô tả chuyến thăm của cô thật lạnh lùng và ngồi trước sự hiện diện của cái ác. Ann McElhinney gần đây đã phỏng vấn Kermit Gosnell, một chuyên gia phá thai bị kết án tù chung thân vì tội giết người cấp độ một, vì bộ phim mà cô và chồng đang làm về người đàn ông này. Cô ấy nói rằng cô ấy không thể nói trong hơn một giờ sau khi cuộc phỏng vấn kết thúc vì trải nghiệm đó thật đáng lo ngại. Anh ấy có câu trả lời cho mọi thứ, McElhinney nói trên Dana của TheBlaze TV. Anh ấy sống trong thế giới của riêng mình. Mỗi lời thốt ra từ miệng anh đều là dối trá. Anh nói dối thật dễ dàng. McElhinney cho biết cô đã gặp nhiều tội phạm trong suốt sự nghiệp báo chí của mình, nhưng với Gosnell, cô nói rằng bạn thực sự đang ngồi trước sự hiện diện của cái ác. Nó gần giống như tất cả những tài liệu tham khảo về cái ác và ma quỷ. McElhinney nói, anh ấy luôn mỉm cười, rõ ràng là rất run. Anh ấy chạm vào chân tôi. Anh ấy không phù hợp về mặt thể chất nên ngồi xa, quá gần trong không gian cá nhân của tôi. Vô cùng đáng lo ngại. McElhinney cho biết Gosnell thực sự hạnh phúc và thoải mái trong tù, và bắt đầu hát hai lần trong cuộc phỏng vấn, trong đó cô hỏi anh về đứa bé được sinh ra còn sống trong một ca phá thai bất thành, sau đó anh đã dùng kéo cắt cổ nó. Cô kết luận: “Tôi chưa từng gặp ai khiến máu tôi lạnh đến mức đó”. Người đàn ông này không có cảm giác tội lỗi. Thông qua: Ngọn lửa","May 22, 2015",1
8,"Bố của bệnh nhân N.H.N (ở Hà Nội) và lái xe riêng của ông nà.... Bố của bệnh nhân N.H.N (ở Hà Nội) và lái xe riêng của ông này đã có kết quả xét nghiệm âm tính với Covid-19. Tại cuộc họp về phòng chống dịch Covid-19 diễn ra vào 18H chiều 7/3, bà Phạm Thu Xanh - Giám đốc Sở Y tế Hải Phòng thông tin, ông N.K.T - bố bệnh nhân N.H.N (ca nhiễm Covid-19 thứ 17 tại nước ta) và ông V.H.S- lái xe riêng của ông T. đã có kết quả xét nghiệm âm tính với Covid-19. Trước đó, ngày 2/3, ông N.K.T đi từ Hải Phòng lên thăm con là N.H.N tại Hà Nội; ngày 4/3, ông N.K.T trở về Hải Phòng. Tối 6/3, khi có thông tin N.H.N dương tính với Covid-19, Sở Y tế Hà Nội đã lập danh sách những người tiếp xúc gần với bệnh nhân, trong đó có ông T, hiện sinh sống tại thôn Phù Lưu, xã Phù Ninh, huyện Thủy Nguyên, Hải Phòng. Tối 6/3, ngay khi có thông tin, chính quyền địa phương đã liên hệ với ông T. khi ông này và lái xe đang trên đường từ Hà Nội về Hải Phòng và đón ông tại Trạm Y tế xã Phù Ninh, dùng xe chuyên dụng đưa ông T. và lái xe vào Khoa Bệnh nhiệt đới, Bệnh viện Hữu nghị Việt Tiệp, đồng thời, cách ly những người tiếp xúc với ông T. Trước đó, trong cuộc họp sáng 7/3, UBND thành phố Hải Phòng kết luận và ra thông báo khoanh vùng, cách ly thôn Phù Lưu, xã Phù Ninh, huyện Thủy Nguyên, nơi sinh sống của ông N.K.T và tổ dân phố Tân Lập (phường Tân Thành, quận Dương Kinh), nơi cư trú của 2 người đi cùng chuyến bay với N.H.N từ Anh về Nội Bài. Dự kiến, lệnh cách ly thôn Phù Lưu sẽ được dỡ bỏ.",2020-03-07,0
9,Kỳ án HDH.đã tìm ra chứng_cứ ngoại_phạm cho HDH .Hải đi trả .... Kỳ án HDH.đã tìm ra chứng_cứ ngoại_phạm cho HDH .Hải đi trả tiền cho bạn ở quoán < URL > ân chứng là bạn HẢI và chủ quoán cafe,2020-05-17,1
10,"Khẩn‼️ Thông_tin này xin nhờ các anh_chị # SHARE tới càng nh.... Khẩn‼️ Thông_tin này xin nhờ các anh_chị # SHARE tới càng nhiều người càng tốt .Tôi vừa trao_đổi với một_số bác_sĩ thì được biết , từ đầu mùa dịch tới giờ mỗi bác_sĩ ở bệnh_viện chỉ được phát 2 khẩu_trang y_tế do không có nguồn cung .Các bác_sĩ đã phải may khẩu_trang , rồi dùng nồi tiệt_trùng hấp đi hấp lại để sử_dụng ....Như mọi người đã biết , vừa có một bác_sĩ ở BV Nhiệt_đới có trang_phục bảo_hộ đầy_đủ mà vẫn bị nhiễm Covid-19 .Với những bác_sĩ không được trang_bị tối_thiểu 1 cái khẩu_trang y_tế thì nguy_cơ phơi nhiễm virus càng lớn hơn gấp_bội .Tôi cũng có hỏi anh Vũ_Mạnh_Cường ( Phó Vụ trưởng Vụ Truyền_thông , Bộ Y_tế ) thì được biết , hầu_hết các bệnh_viện đều trang tình_trạng thiếu khẩu_trang như_vậy .↘️ Các bác_sỹ , nhân_viên y_tế là những người đối_mặt trực_tiếp với dịch_bệnh , bảo_vệ sức_khoẻ chúng_ta .Họ thực_sự đang là lá_chắn sống cho hơn 90 triệu dân Việt_Nam .Nếu chúng_ta không sớm nghĩ cách để cung_ứng các vật_tư tiêu_hao tối_thiểu cho họ thì việc chống dịch Covid-19 sắp tới khó mà thành_công được .Cả nước có 500.000 bác_sĩ và nhân_viên y_tế , mỗi người cần 2 khẩu_trang 1 ngày , tức cần khoảng 1 triệu khẩu_trang mỗi ngày .Đây không phải là con_số quá lớn so với khả_năng sản_xuất 3 triệu khẩu_trang y_tế mỗi ngày của Việt_Nam .Nhưng vì người_dân mua tích_trữ và dùng nhiều quá nên bệnh_viện không mua được nữa .↘️ Từ bây_giờ , nếu mỗi người_dân cùng nhau dùng khẩu_trang vải ( vẫn có tác_dụng ngăn giọt bắn nước_bọt ) , rồi mang số khẩu_trang y_tế mà mình đã mua được tặng lại nhân_viên , cơ_sở y_tế gần nhà thì chúng_ta đã tích_cực góp_phần chung tay bảo_vệ nhân_viên y_tế , phòng_chống dịch cho chính chúng_ta rồi .Tôi cũng kêu_gọi mọi người không mua khẩu_trang y_tế đi phát miễn_phí ở bên ngoài nữa .Việc thu_mua này vừa lãng_phí , vừa kích_thích nhu_cầu khan_hiếm giả_tạo , khiến cho các bệnh_viện , cơ_sở y_tế khó mua khẩu_trang hơn .Tôi cũng mong , các doanh_nghiệp , trong phạm_vi có_thể , hãy cùng đóng_góp khẩu_trang y_tế cho các y_bác_sĩ ở các bệnh_viện gần nơi mình đặt văn_phòng , nhà_máy .↘️ Mỗi chúng_ta , mỗi người một tay chung sức với ngành y_tế thì sẽ tăng thêm sức_mạnh đẩy_lùi đại_dịch trước_mắt .Tôi khẩn_thiết nhờ các anh_chị # COPY hoặc # SHARE thông_tin này tới càng nhiều người càng tốt .Xem thêm",2020-03-23,1
