model,method,accuracy,f1_macro,roc_auc,ece,mce,brier
Logistic Regression,original,0.8347659980897804,0.832853326443135,0.9188494712575708,0.02424023478398442,0.1328851605132889,0.11358384923707224
Logistic Regression,platt,0.8385864374403056,0.8358984394200619,0.9188494712575708,0.021480633273059824,0.1346543106270992,0.11336769137464295
Logistic Regression,temperature,0.8347659980897804,0.832853326443135,0.9188494712575708,0.024682916028571537,0.12405466723261532,0.11358860929743153
Logistic Regression,isotonic,0.835243553008596,0.8338319624196134,0.9176205897707166,0.020264519690188734,0.10396680944626147,0.11369520529554152
SVM,original,0.8433619866284623,0.8410228871935412,0.9190102422190088,0.0229263265261997,0.07397226745921015,0.11344326500124252
SVM,platt,0.8385864374403056,0.8360589970064181,0.9193142286920728,0.021010982746397223,0.09727768550446736,0.11314870633078634
SVM,temperature,0.836676217765043,0.8347167177646502,0.9193142286920728,0.029635535717759294,0.173152084718102,0.11341766058562211
SVM,isotonic,0.83810888252149,0.8365422764195817,0.9175845549000495,0.02381063863615967,0.193856995520435,0.11359457361515
BiLSTM,original,0.826647564469914,0.8231857877216191,0.9022332380103206,0.13605066606530733,0.2806515619158745,0.15111327077557188
BiLSTM,platt,0.828080229226361,0.8253034663996996,0.9021463847323024,0.018556348790549945,0.061512778972084514,0.12459774383205494
BiLSTM,temperature,0.826647564469914,0.8233288018246276,0.9021463847323024,0.021502665481541155,0.08861965111072134,0.1251221155963492
BiLSTM,isotonic,0.8261700095510984,0.8229591722969206,0.9004305705059203,0.02199679419331757,0.15187664517352384,0.12599632286158485
PhoBERT,original,0.8930276981852913,0.8916037858808717,0.9581353340386313,0.08461066290891034,0.3771770497163137,0.09412753191420345
PhoBERT,platt,0.8911174785100286,0.8896187547684553,0.9581533514739647,0.028555095777587632,0.19186717600601655,0.0821367789286595
PhoBERT,temperature,0.8911174785100286,0.8896925090199326,0.9581533514739647,0.026284612438840234,0.14175107585108304,0.0819015515922369
PhoBERT,isotonic,0.889207258834766,0.8881456615138077,0.9572524797072859,0.03037719992532878,0.30303030303030287,0.0820679577842401
